1 0
2 0
3 0
4 1
5 2
6 3
7 3
8 4
9 4
10 4
11 5
12 6
13 7
14 8
15 9
16 9
17 10
18 10
19 10
20 10
21 11
22 12
23 12
24 13
25 13
26 14
27 15
28 16
29 17
30 17
35 18
40 21
45 22
50 25
55 27
60 29
65 30
70 32
75 34
80 35
85 38
90 40
95 41
100 44
110 48
120 53
130 58
140 65
150 71
160 74
170 79
180 86
190 92
200 98
250 125
300 146
350 173
400 199
450 226
500 255
550 280
600 312
650 341
700 368
750 390
800 413
850 438
900 458
950 484
1000 502
1100 542
1200 596
1300 649
1400 704
1500 756
1600 810
1700 868
1800 918
1900 971
2000 1013
2100 1069
2200 1122
2300 1175
2400 1220
2500 1272
2600 1316
2700 1350
2800 1409
2900 1459
3000 1510
3100 1561
3200 1609
3300 1665
3400 1722
3500 1772
3600 1826
3700 1873
3800 1926
3900 1976
4000 2029
4100 2081
4200 2135
4300 2190
4400 2242
4500 2293
4600 2346
4700 2400
4800 2447
4900 2489
5000 2533
5100 2575
5200 2643
5300 2688
5400 2725
5500 2772
5600 2824
5700 2875
5800 2924
5900 2972
6000 3009
6100 3056
6200 3108
6300 3153
6400 3201
6500 3245
6600 3296
6700 3351
6800 3404
6900 3456
7000 3516
7100 3566
7200 3623
7300 3672
7400 3718
7500 3780
7600 3828
7700 3871
7800 3929
7900 3986
8000 4034
8100 4079
8200 4129
8300 4182
8400 4228
8500 4284
8600 4342
8700 4396
8800 4445
8900 4493
9000 4538
9100 4593
9200 4644
9300 4692
9400 4748
9500 4803
9600 4858
9700 4908
9800 4956
9900 5015
10000 5067
